                 Alex Knipfer         CSC 24400     Section 11
                   Spring 2015       Assignment #2
----------------------------------------------------------------------------

The original list of test scores is: 

Student ID #   Test Score
   6013           77.6
   9022           88.9
   8038           92.9
   3048           51.9
   2050           86.5
   6065           65.2
   3079           84.8
   9088           80.9
   1091           85.7
   8108           78.0
   5119           68.6
   4125           86.3
   7132           81.9
   5140           51.1
   6151           72.8
   9168           92.6
   6175           70.6
   9187           68.3
   7195           89.3
   5208           53.9
   9217           95.8
   1221           44.5
   6236           74.0
   5248           84.3
   6251           83.9
   6267           77.8
   5274           91.2
   2283           91.7
   1296           79.3
   6307           64.4
   9317           96.4
   6322           83.6
   2339           82.9
   8345           81.9
   8350           86.5
   5366           66.8
   6371           68.4
   9389           90.2
   5391           77.4
   7409           78.6
   7413           71.2
   8424           80.4
   8436           86.7
   1444           59.6

The test scores sorted highest to lowest are: 

Student ID #   Test Score
   9317           96.4
   9217           95.8
   8038           92.9
   9168           92.6
   2283           91.7
   5274           91.2
   9389           90.2
   7195           89.3
   9022           88.9
   8436           86.7
   8350           86.5
   2050           86.5
   4125           86.3
   1091           85.7
   3079           84.8
   5248           84.3
   6251           83.9
   6322           83.6
   2339           82.9
   7132           81.9
   8345           81.9
   9088           80.9
   8424           80.4
   1296           79.3
   7409           78.6
   8108           78.0
   6267           77.8
   6013           77.6
   5391           77.4
   6236           74.0
   6151           72.8
   7413           71.2
   6175           70.6
   5119           68.6
   6371           68.4
   9187           68.3
   5366           66.8
   6065           65.2
   6307           64.4
   1444           59.6
   5208           53.9
   3048           51.9
   5140           51.1
   1221           44.5

The student ID's sorted lowest to highest are: 

Student ID #   Test Score
   1091           85.7
   1221           44.5
   1296           79.3
   1444           59.6
   2050           86.5
   2283           91.7
   2339           82.9
   3048           51.9
   3079           84.8
   4125           86.3
   5119           68.6
   5140           51.1
   5208           53.9
   5248           84.3
   5274           91.2
   5366           66.8
   5391           77.4
   6013           77.6
   6065           65.2
   6151           72.8
   6175           70.6
   6236           74.0
   6251           83.9
   6267           77.8
   6307           64.4
   6322           83.6
   6371           68.4
   7132           81.9
   7195           89.3
   7409           78.6
   7413           71.2
   8038           92.9
   8108           78.0
   8345           81.9
   8350           86.5
   8424           80.4
   8436           86.7
   9022           88.9
   9088           80.9
   9168           92.6
   9187           68.3
   9217           95.8
   9317           96.4
   9389           90.2

The lowest test score was 44.5 achieved by student #1221

The highest test score was 96.4 achieved by student #9317

The average test score for the group is: 77.9
--------------------------------   
|    END OF PROGRAM OUTPUT     |   
--------------------------------   
